ops_subtype@MetaData,station_id@MetaData,ops_obstype@MetaData,vesselinfo@VesselInfo,newobstype@NewObsType,anemometer_height@AnemometerHeight
int,string,int,string,int,float
_,_,_,_,_,_
10200,2GGN5,_,USBCSN  ,_,40.0
10200,2GOY3,_,USBC    ,_,-34.0
10200,2GYL6,_,GBLT S  ,_,36.0
10200,2GYU4,_,GBRF S  ,_,-30.0
10200,2HCH5,_,GBLT S  ,_,-38.0
10200,2HDG3,_,USCSSN  ,_,46.0
10200,2HFZ6,_,GBPS S  ,_,52.0
10200,2HFZ7,_,GBPS S  ,_,-45.0
10200,2HHG5,_,GBPS S  ,_,-45.0
10200,2IWZ7,_,GBPS S  ,_,-45.0
10200,3EAA9,_,JPLTVS  ,_,42.5
10200,3EAB2,_,JPGCVS  ,_,34.6
10200,3EAB4,_,KRCSVS  ,_,36.0
10200,3EAE3,_,USCSSL  ,_,-37.0
10200,3EAP2,_,JPBCVS  ,_,50.4
10200,3EAR2,_,JPGCVS  ,_,34.6
10200,3EAT6,_,NZGT S  ,_,21.0
10200,3EAW6,_,JPRRVS  ,_,33.4
10200,3EBC,_,JPRR S  ,_,35.0
10200,3EBG2,_,USCSSN  ,_,43.5
10200,3EBL5,_,USPS S  ,_,45.0
10200,3EBM5,_,JPBC S  ,_,26.6
10200,3EBR3,_,JPLTVS  ,_,30.1
10200,3EBR5,_,USLTSN  ,_,29.0
10200,3EBU4,_,JPLT S  ,_,43.0
10200,3EBY6,_,JPBCVS  ,_,31.1
10200,3ECB7,_,JPLTVS  ,_,42.2
10200,3ECE2,_,JPRR S  ,_,36.0
10200,3ECG9,_,JPRRVS  ,_,39.0
10200,3ECI3,_,NZGT S  ,_,21.0
10200,3ECJ7,_,USCSUS  ,_,38.0
10200,3ECP2,_,JPLTVS  ,_,37.9
10200,3ECR4,_,JPLTVS  ,_,45.4
10200,3ECX3,_,JPRRVS  ,_,36.0
10200,3ECY3,_,JPLTVS  ,_,40.8
10200,3ECZ3,_,JPLTVS  ,_,25.0
10200,3EDA4,_,JPRRVS  ,_,36.0
10200,3EDA5,_,JPBCSG  ,_,19.6
10200,3EDE7,_,JPRR S  ,_,28.0
10200,3EDG4,_,JPBCVS  ,_,34.0
10200,3EDI6,_,GBBC S  ,_,35.0
10200,3EDI9,_,JPGTVS  ,_,34.4
10200,3EDJ9,_,JPLTVS  ,_,41.0
10200,3EDP2,_,JPRR S  ,_,33.0
10200,3EDP9,_,JPBCVS  ,_,-34.0
10200,3EDQ6,_,JPRR S  ,_,35.0
10200,3EDQ9,_,JPBC S  ,_,20.3
10200,3EDW5,_,JPLTVS  ,_,40.5
10200,3EEB,_,JPLTVS  ,_,42.0
10200,3EEB6,_,JPBCVS  ,_,38.0
10200,3EED2,_,JPLT S  ,_,32.0
10200,3EEE2,_,JPBC S  ,_,21.9
